Unnamed: 0,id,age,location_x,location_y,kw_or_chr
0,0.0.0.0,20,-5.366204166666666,36.15046283333333,X
1,0.1.0.0,11,-5.366204166666666,36.15046283333333,X
2,0.1.0.1,52,-5.366204166666666,36.15046283333333,W
3,0.1.1.0,22,-5.366204166666666,36.15046283333333,X
4,0.2.0.0,28,-5.366204166666666,36.15046283333333,W
5,0.3.0.0,61,-5.366204166666666,36.15046283333333,W
6,0.7.0.0,73,-5.366204166666666,36.15046283333333,C
7,0.7.0.1,70,-5.366204166666666,36.15046283333333,C
8,0.8.0.0,72,-5.366204166666666,36.15046283333333,C
9,0.9.0.0,99,-5.366204166666666,36.15046283333333,C
10,0.11.0.0,52,-5.366204166666666,36.15046283333333,W
11,0.11.0.1,52,-5.366204166666666,36.15046283333333,W
12,0.11.0.2,47,-5.366204166666666,36.15046283333333,W
13,0.12.0.0,52,-5.366204166666666,36.15046283333333,W
14,0.12.0.1,53,-5.366204166666666,36.15046283333333,W
15,0.17.0.0,60,-5.366204166666666,36.15046283333333,W
16,0.18.0.0,55,-5.366204166666666,36.15046283333333,W
17,0.20.0.0,21,-5.366204166666666,36.15046283333333,X
18,0.23.0.0,55,-5.366204166666666,36.15046283333333,W
19,0.24.0.0,52,-5.366204166666666,36.15046283333333,W
20,0.25.0.0,58,-5.366204166666666,36.15046283333333,W
21,0.25.1.0,26,-5.366204166666666,36.15046283333333,W
22,0.27.0.0,95,-5.366204166666666,36.15046283333333,C
23,0.28.0.0,78,-5.366204166666666,36.15046283333333,C
24,0.30.0.0,28,-5.366204166666666,36.15046283333333,W
25,0.33.0.0,56,-5.366204166666666,36.15046283333333,W
26,0.33.0.1,55,-5.366204166666666,36.15046283333333,W
27,0.33.1.0,45,-5.366204166666666,36.15046283333333,W
28,0.34.0.0,22,-5.366204166666666,36.15046283333333,X
29,0.34.0.1,29,-5.366204166666666,36.15046283333333,W
30,0.34.1.0,53,-5.366204166666666,36.15046283333333,W
31,0.35.0.0,50,-5.366204166666666,36.15046283333333,W
32,0.35.0.1,50,-5.366204166666666,36.15046283333333,W
33,0.38.0.0,56,-5.366204166666666,36.15046283333333,W
34,0.39.0.0,74,-5.366204166666666,36.15046283333333,C
